	asin	author	author_title	isbn10	isbn13	list_date	rank_last_wk	rank_this_wk	title	wks_on_list
0		 Robin Cook.	 Robin Cook.**SPHINX		9788422612742	1979-06-24	13	8	SPHINX	2
1		 Peter Straub.	 Peter Straub.**GHOST STORY		9780965723138	1979-06-24	12	12	GHOST STORY	11
2		 Joseph Heller.	 Joseph Heller.**GOOD AS GOLD		9788071455707	1979-06-24	10	7	GOOD AS GOLD	16
3		 James A. Michener.	 James A. Michener.**CHESAPEAKE		9782020053662	1979-06-24	8	11	CHESAPEAKE	45
4		 Herman Wouk.	 Herman Wouk.**WAR AND REMEMBRANCE		9780316172141	1979-06-24	6	3	WAR AND REMEMBRANCE	38
5		 Len Deighton.	 Len Deighton.**SS-GB		9780745134116	1979-06-24	0	13	SS-GB	15
6		 Walter F. Murphy.	 Walter F. Murphy.**THE VICAR OF CHRIST		9780345320391	1979-06-24	15	10	THE VICAR OF CHRIST	8
7		 Trevanian.	 Trevanian.**SHIBUMI		9780345301390	1979-06-24	3	6	SHIBUMI	8
8		 Richard Bach.	 Richard Bach.**THERE'S NO SUCH PLACE AS FAR AWAY		9780002240215	1979-06-24	7	15	THERE'S NO SUCH PLACE AS FAR AWAY	3
9		 Robert Ludlum.	 Robert Ludlum.**THE MATARESE CIRCLE		9782253034759	1979-06-24	1	1	THE MATARESE CIRCLE	16
10		 Ruth Beebe Hill.	 Ruth Beebe Hill.**HANTA YO		9780446321440	1979-06-24	9	9	HANTA YO	19
11		 William Styron.	 William Styron.**SOPHIE'S CHOICE		9780099470441	1979-06-24	2	2	SOPHIE'S CHOICE	3
12		 Peter Benchley.	 Peter Benchley.**THE ISLAND		9780553209846	1979-06-24	7	4	THE ISLAND	4
13		 Rona Jaffe.	 Rona Jaffe.**CLASS REUNION		9781504008365	1979-06-24	11	14	CLASS REUNION	5
14		 Wilbur Smith.	 Wilbur Smith.**RIVER GOD		9789725686041	1994-03-27	11	1	RIVER GOD	2
15		 LaVyrle Spencer.	 LaVyrle Spencer.**FAMILY BLESSINGS		9781423743361	1994-03-20	9	1	FAMILY BLESSINGS	8
16		 Jack Higgins.	 Jack Higgins.**THE PRESIDENT'S DAUGHTER		9780425192948	1997-07-13	10	13	THE PRESIDENT'S DAUGHTER	8
17		 Nelson DeMille.	 Nelson DeMille.**PLUM ISLAND		9780759542600	1997-07-13	2	2	PLUM ISLAND	8
18		 Sandra Brown.	 Sandra Brown.**FAT TUESDAY		9788886845847	1997-07-13	3	3	FAT TUESDAY	5
19		 Barbara Taylor Bradford.	 Barbara Taylor Bradford.**POWER OF A WOMAN		9780002001519	1997-07-13	16	6	POWER OF A WOMAN	2
20		 Charles Frazier.	 Charles Frazier.**COLD MOUNTAIN		9780679460695	1997-07-13	9	7	COLD MOUNTAIN	3
21		 Dale Brown.	 Dale Brown.**FATAL TERRAIN		9780002254526	1997-07-13	0	15	FATAL TERRAIN	1
22		 Catherine Coulter.	 Catherine Coulter.**THE MAZE		9780399145599	1997-07-13	13	11	THE MAZE	2
23		 Danielle Steel.	 Danielle Steel.**SPECIAL DELIVERY		9780754021711	1997-07-13	3	1	SPECIAL DELIVERY	1
24		 Edward Rutherfurd.	 Edward Rutherfurd.**LONDON		9783426618301	1997-07-13	6	9	LONDON	8
25		 Mary Higgins Clark.	 Mary Higgins Clark.**PRETEND YOU DON'T SEE HER		9788820025793	1997-07-13	11	14	PRETEND YOU DON'T SEE HER	14
26		 Nicholas Sparks.	 Nicholas Sparks.**THE NOTEBOOK		9788478883356	1997-07-13	7	8	THE NOTEBOOK	40
27		 Peter Mayle.	 Peter Mayle.**CHASING CEZANNE		9780679774327	1997-07-13	8	10	CHASING CEZANNE	5
28		 Anne Rivers Siddons.	 Anne Rivers Siddons.**UP ISLAND		9780316913140	1997-07-13	5	4	UP ISLAND	7
29		 John Grisham.	 John Grisham.**THE PARTNER		9780553455533	1997-07-13	20	5	THE PARTNER	5
30		 Elizabeth George.	 Elizabeth George.**DECEPTION ON HIS MIND		9785457229020	1997-07-13	15	12	DECEPTION ON HIS MIND	2
31		 Allen Drury.	 Allen Drury.**THE PROMISE OF JOY		9781614752080	1975-04-13	5	3	THE PROMISE OF JOY	5
32		MacDonald.	MacDonald.**THE DREADFUL LEMON SKY		9780449129647	1975-04-13	4	5	THE DREADFUL LEMON SKY	6
33		 Phyllis A. Whitney.	 Phyllis A. Whitney.**SPINDRIFT		9780434864713	1975-04-13	0	10	SPINDRIFT	1
34		 Joseph Heller.	 Joseph Heller.**SOMETHING HAPPENED		9780345301772	1975-04-13	8	8	SOMETHING HAPPENED	27
35		 Arthur Hailey.	 Arthur Hailey.**THE MONEYCHANGERS		9780385008969	1975-04-13	2	2	THE MONEYCHANGERS	5
36		 John Updike.	 John Updike.**A MONTH OF SUNDAYS		9780233981048	1975-04-13	6	6	A MONTH OF SUNDAYS	6
37	B002DMZ9U4	 Thomas Harris	 Thomas Harris**BLACK SUNDAY	0451217411	9780451217417	1975-04-13	9	9	BLACK SUNDAY	8
38		 Belva Plain.	 Belva Plain.**BLESSINGS		9780440206521	1989-09-17	11	12	BLESSINGS	9
39		 Amy Tan.	 Amy Tan.**THE JOY LUCK CLUB		9780795310744	1989-09-17	4	5	THE JOY LUCK CLUB	26
40		 Jude Deveraux.	 Jude Deveraux.**KNIGHT IN SHINING ARMOR		9785170434473	1989-09-17	12	11	KNIGHT IN SHINING ARMOR	8
41		 Mary Higgins Clark.	 Mary Higgins Clark.**WHILE MY PRETTY ONE SLEEPS		9788484506355	1989-09-17	14	15	WHILE MY PRETTY ONE SLEEPS	21
42		 Jonathan Kellerman.	 Jonathan Kellerman.**SILENT PARTNER		9780751510652	1989-09-17	1897	13	SILENT PARTNER	0
43		 Martin Cruz Smith.	 Martin Cruz Smith.**POLAR STAR		9783453071735	1989-09-17	7	7	POLAR STAR	13
44		 Martha Grimes.	 Martha Grimes.**THE OLD SILENT		9781442363168	1989-09-17	9	8	THE OLD SILENT	5
45		 Joseph F. Girzone.	 Joseph F. Girzone.**JOSHUA AND THE CHILDREN		9780020199052	1989-09-17	8	9	JOSHUA AND THE CHILDREN	7
46		 Tom Clancy.	 Tom Clancy.**CLEAR AND PRESENT DANGER		9781101000762	1989-09-17	1	1	CLEAR AND PRESENT DANGER	5
47		 John Jakes.	 John Jakes.**CALIFORNIA GOLD		9780345369086	1989-09-17	3	3	CALIFORNIA GOLD	3
48		 John le Carré.	 John le Carré.**THE RUSSIA HOUSE		9783462020007	1989-09-17	17	6	THE RUSSIA HOUSE	6
49		 Ken Follett.	 Ken Follett.**PILLARS OF THE EARTH		9788401323386	1989-09-17	2	2	PILLARS OF THE EARTH	3
50		 Alice Walker.	 Alice Walker.**THE TEMPLE OF MY FAMILIAR		9781306602655	1989-09-10	15	15	THE TEMPLE OF MY FAMILIAR	21
51		 Jude Deveraux.	 Jude Deveraux.**KNIGHT IN SHINING ARMOR		9785170434473	1989-09-10	9	12	KNIGHT IN SHINING ARMOR	7
52		 Amy Tan.	 Amy Tan.**THE JOY LUCK CLUB		9780795310744	1989-09-10	4	4	THE JOY LUCK CLUB	25
53		 Martin Cruz Smith.	 Martin Cruz Smith.**POLAR STAR		9783453071735	1989-09-10	2	7	POLAR STAR	12
54		 Ken Follett.	 Ken Follett.**THE PILLARS OF THE EARTH		9788401323386	1989-09-10	13	2	THE PILLARS OF THE EARTH	2
55		 Belva Plain.	 Belva Plain.**BLESSINGS		9780440206521	1989-09-10	6	11	BLESSINGS	8
56		 Martha Grimes.	 Martha Grimes.**THE OLD SILENT		9781442363168	1989-09-10	5	9	THE OLD SILENT	4
57		 Joseph F. Girzone.	 Joseph F. Girzone.**JOSHUA AND THE CHILDREN		9780020199052	1989-09-10	8	8	JOSHUA AND THE CHILDREN	6
58		 Tom Clancy.	 Tom Clancy.**CLEAR AND PRESENT DANGER		9781101000762	1989-09-10	1	1	CLEAR AND PRESENT DANGER	4
59		 John Jakes.	 John Jakes.**CALIFORNIA GOLD		9780345369086	1989-09-10	12	3	CALIFORNIA GOLD	2
60		 John le Carré.	 John le Carré.**THE RUSSIA HOUSE		9783462020007	1989-09-10	3	6	THE RUSSIA HOUSE	16
61		 Mary Higgins Clark.	 Mary Higgins Clark.**WHILE MY PRETTY ONE SLEEPS		9788484506355	1989-09-10	11	14	WHILE MY PRETTY ONE SLEEPS	20
62		 Tim LaHaye and Jerry B. Jenkins.	 Tim LaHaye and Jerry B. Jenkins.**GLORIOUS APPEARING		9781414325101	2004-05-23	3	1	GLORIOUS APPEARING	7
63		 Frederick Forsyth.	 Frederick Forsyth.**THE NEGOTIATOR		9780553702101	1989-06-04	3	3	THE NEGOTIATOR	8
64		 Amy Tan.	 Amy Tan.**THE JOY LUCK CLUB		9780795310744	1989-06-04	4	6	THE JOY LUCK CLUB	11
65		 Salman Rushdie.	 Salman Rushdie.**THE SATANIC VERSES		9780676970630	1989-06-04	7	8	THE SATANIC VERSES	16
66		 Alice Walker.	 Alice Walker.**THE TEMPLE OF MY FAMILIAR		9781306602655	1989-06-04	5	7	THE TEMPLE OF MY FAMILIAR	7
67		 Eileen Goudge.	 Eileen Goudge.**GARDEN OF LIES		9780451972101	1989-06-04	13	15	GARDEN OF LIES	2
68		 Garrison Keillor.	 Garrison Keillor.**WE ARE STILL MARRIED		9780816148707	1989-06-04	14	13	WE ARE STILL MARRIED	11
69		 Eugenia Price.	 Eugenia Price.**STRANGER IN SAVANNAH		9781630264277	1989-06-04	10	12	STRANGER IN SAVANNAH	6
70		 Tony Hillerman.	 Tony Hillerman.**TALKING GOD		9780718133764	1989-06-04	9	4	TALKING GOD	3
71		 Larry Bond.	 Larry Bond.**RED PHOENIX		9780356188164	1989-06-04	11	9	RED PHOENIX	3
72		 Lawrence Sanders.	 Lawrence Sanders.**CAPITAL CRIMES		9780450496882	1989-06-04	8	5	CAPITAL CRIMES	3
73		 Mary Higgins Clark.	 Mary Higgins Clark.**WHILE MY PRETTY ONE SLEEPS		9788484506355	1989-06-04	2	2	WHILE MY PRETTY ONE SLEEPS	6
74		 John Irving.	 John Irving.**A PRAYER FOR OWEN MEANY		9781840023343	1989-06-04	12	11	A PRAYER FOR OWEN MEANY	13
75		 Danielle Steel.	 Danielle Steel.**STAR		9780792430926	1989-06-04	0	14	STAR	16
76		 John le Carré.	 John le Carré.**THE RUSSIA HOUSE		9783462020007	1989-06-04	2	1	THE RUSSIA HOUSE	1
77		 Robert B. Parker.	 Robert B. Parker.**PLAYMATES		9780670829866	1989-06-04	6	10	PLAYMATES	5
78		 Tami Hoag.	 Tami Hoag.**A THIN DARK LINE		9781409121480	1997-03-23	8	1	A THIN DARK LINE	3
79		 Belva Plain.	 Belva Plain.**EVERGREEN		9780440132783	1978-07-09	11	12	EVERGREEN	4
80		 Richard Bach.	 Richard Bach.**ILLUSIONS		9780434041015	1978-07-09	10	9	ILLUSIONS	58
