	author_title	list_date	rank_this_wk	num_wks_on_list	rank_last_wk	isbn
0	Aaron Allston**BACKLASH	2010-03-14	4.0	1	0.0	9780345509086
1	Aaron Allston**BACKLASH	2010-03-21	11.0	2	4.0	9780345509086
2	Aaron Allston**BACKLASH	2010-03-28	18.0	0	0.0	9780345509086
3	Aaron Allston**BACKLASH	2010-04-04	19.0	0	0.0	9780345509086
4	Aaron Allston**OUTCAST	2009-03-28	3.0	1	0.0	9780345509062
5	Aaron Allston**OUTCAST	2009-04-04	11.0	2	3.0	9780345509062
6	Aaron Allston**OUTCAST	2009-04-11	15.0	3	11.0	9780345509062
7	Abraham Verghese**CUTTING FOR STONE	2009-02-21	17.0	0	0.0	9780375714368
8	Abraham Verghese**CUTTING FOR STONE	2010-01-31	11.0	1	0.0	9780375714368
9	Abraham Verghese**CUTTING FOR STONE	2010-02-07	14.0	2	11.0	9780375714368
10	Abraham Verghese**CUTTING FOR STONE	2010-02-14	13.0	3	14.0	9780375714368
11	Abraham Verghese**CUTTING FOR STONE	2010-02-21	16.0	4	13.0	9780375714368
12	Abraham Verghese**CUTTING FOR STONE	2010-02-28	13.0	5	16.0	9780375714368
13	Abraham Verghese**CUTTING FOR STONE	2010-03-07	14.0	6	13.0	9780375714368
14	Abraham Verghese**CUTTING FOR STONE	2010-03-14	18.0	7	14.0	9780375714368
15	Abraham Verghese**CUTTING FOR STONE	2010-03-21	8.0	8	18.0	9780375714368
16	Abraham Verghese**CUTTING FOR STONE	2010-03-28	11.0	9	8.0	9780375714368
17	Abraham Verghese**CUTTING FOR STONE	2010-04-04	13.0	10	11.0	9780375714368
18	Abraham Verghese**CUTTING FOR STONE	2010-04-11	20.0	11	13.0	9780375714368
19	Abraham Verghese**CUTTING FOR STONE	2010-04-18	15.0	12	20.0	9780375714368
20	Abraham Verghese**CUTTING FOR STONE	2010-04-25	10.0	13	15.0	9780375714368
21	Abraham Verghese**CUTTING FOR STONE	2010-05-02	9.0	14	10.0	9780375714368
22	Abraham Verghese**CUTTING FOR STONE	2010-05-09	10.0	15	9.0	9780375714368
23	Abraham Verghese**CUTTING FOR STONE	2010-05-16	10.0	16	10.0	9780375714368
24	Abraham Verghese**CUTTING FOR STONE	2010-05-23	8.0	17	10.0	9780375714368
25	Abraham Verghese**CUTTING FOR STONE	2010-05-30	8.0	18	8.0	9780375714368
26	Abraham Verghese**CUTTING FOR STONE	2010-06-06	7.0	19	8.0	9780375714368
27	Abraham Verghese**CUTTING FOR STONE	2010-06-13	8.0	20	7.0	9780375714368
28	Abraham Verghese**CUTTING FOR STONE	2010-06-20	7.0	21	8.0	9780375714368
29	Abraham Verghese**CUTTING FOR STONE	2010-06-27	8.0	22	7.0	9780375714368
30	Abraham Verghese**CUTTING FOR STONE	2010-07-04	7.0	23	8.0	9780375714368
31	Abraham Verghese**CUTTING FOR STONE	2010-07-11	7.0	24	7.0	9780375714368
32	Abraham Verghese**CUTTING FOR STONE	2010-07-18	7.0	25	7.0	9780375714368
33	Abraham Verghese**CUTTING FOR STONE	2010-07-25	6.0	26	7.0	9780375714368
34	Abraham Verghese**CUTTING FOR STONE	2010-08-01	6.0	27	6.0	9780375714368
35	Abraham Verghese**CUTTING FOR STONE	2010-08-08	7.0	28	6.0	9780375714368
36	Abraham Verghese**CUTTING FOR STONE	2010-08-15	5.0	29	7.0	9780375714368
37	Abraham Verghese**CUTTING FOR STONE	2010-08-22	4.0	30	5.0	9780375714368
38	Abraham Verghese**CUTTING FOR STONE	2010-08-29	4.0	31	4.0	9780375714368
39	Abraham Verghese**CUTTING FOR STONE	2010-09-05	4.0	32	4.0	9780375714368
40	Abraham Verghese**CUTTING FOR STONE	2010-09-12	5.0	33	4.0	9780375714368
41	Abraham Verghese**CUTTING FOR STONE	2010-09-19	5.0	34	5.0	9780375714368
42	Abraham Verghese**CUTTING FOR STONE	2010-09-26	5.0	35	5.0	9780375714368
43	Abraham Verghese**CUTTING FOR STONE	2010-10-03	5.0	36	5.0	9780375714368
44	Abraham Verghese**CUTTING FOR STONE	2010-10-10	4.0	37	5.0	9780375714368
45	Abraham Verghese**CUTTING FOR STONE	2010-10-17	5.0	38	4.0	9780375714368
46	Abraham Verghese**CUTTING FOR STONE	2010-10-24	4.0	39	5.0	9780375714368
47	Abraham Verghese**CUTTING FOR STONE	2010-10-31	5.0	40	4.0	9780375714368
48	Abraham Verghese**CUTTING FOR STONE	2010-11-07	5.0	41	5.0	9780375714368
49	Abraham Verghese**CUTTING FOR STONE	2010-11-14	6.0	42	5.0	9780375714368
50	Abraham Verghese**CUTTING FOR STONE	2010-11-21	5.0	43	6.0	9780375714368
51	Abraham Verghese**CUTTING FOR STONE	2010-11-28	5.0	44	5.0	9780375714368
52	Abraham Verghese**CUTTING FOR STONE	2010-12-05	4.0	45	5.0	9780375714368
53	Abraham Verghese**CUTTING FOR STONE	2010-12-12	3.0	46	4.0	9780375714368
54	Abraham Verghese**CUTTING FOR STONE	2010-12-19	5.0	47	3.0	9780375714368
55	Abraham Verghese**CUTTING FOR STONE	2010-12-26	5.0	48	5.0	9780375714368
56	Abraham Verghese**CUTTING FOR STONE	2011-01-02	4.0	49	5.0	9780375714368
57	Abraham Verghese**CUTTING FOR STONE	2011-01-09	3.0	50	4.0	9780375714368
58	Abraham Verghese**CUTTING FOR STONE	2011-01-16	3.0	51	3.0	9780375714368
59	Abraham Verghese**CUTTING FOR STONE	2011-01-23	4.0	52	3.0	9780375714368
60	Adriana Trigiani**BRAVA, VALENTINE	2010-02-14	7.0	1	0.0	9780061257070
61	Adriana Trigiani**BRAVA, VALENTINE	2010-02-21	13.0	2	7.0	9780061257070
62	Adriana Trigiani**BRAVA, VALENTINE	2010-02-28	16.0	3	13.0	9780061257070
63	Adriana Trigiani**BRAVA, VALENTINE	2010-03-07	19.0	0	0.0	9780061257070
64	Adriana Trigiani**VERY VALENTINE	2009-02-07	9.0	1	0.0	9780061257056
65	Adriana Trigiani**VERY VALENTINE	2009-02-14	10.0	2	9.0	9780061257056
66	Adriana Trigiani**VERY VALENTINE	2009-02-21	13.0	3	10.0	9780061257056
67	Adriana Trigiani**VERY VALENTINE	2009-02-28	20.0	0	0.0	9780061257056
68	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	2010-06-06	19.0	0	0.0	9780385501125
69	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	2010-06-13	18.0	0	0.0	9780385501125
70	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	2010-07-04	15.0	1	0.0	9780385501125
71	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	2010-07-11	17.0	0	0.0	9780385501125
72	Alan Dean Foster, Roberto Orci and Alex Kurtzman**STAR TREK	2009-05-16	15.0	1	0.0	9781439158869
73	Alan Furst**SPIES OF THE BALKANS	2010-06-20	10.0	1	0.0	9781400066032
74	Alan Furst**SPIES OF THE BALKANS	2010-06-27	18.0	0	0.0	9781400066032
75	Alan Furst**THE SPIES OF WARSAW	2008-06-07	16.0	1	0.0	9781400066025
76	Alan Furst**THE SPIES OF WARSAW	2008-06-14	17.0	0	0.0	9781400066025
77	Alan Furst**THE SPIES OF WARSAW	2008-06-21	19.0	0	0.0	9781400066025
78	Alex Berenson**THE GHOST WAR	2009-01-31	11.0	1	0.0	9780515145823
79	Alex Berenson**THE GHOST WAR	2009-02-07	9.0	2	0.0	9780515145823
80	Alex Berenson**THE GHOST WAR	2009-02-14	8.0	3	0.0	9780515145823
81	Alex Berenson**THE GHOST WAR	2009-02-21	5.0	4	0.0	9780515145823
82	Alex Berenson**THE MIDNIGHT HOUSE	2010-02-14	9.0	1	0.0	9780399156205
83	Alex Berenson**THE MIDNIGHT HOUSE	2010-02-21	12.0	2	9.0	9780399156205
84	Alex Berenson**THE MIDNIGHT HOUSE	2010-02-28	19.0	0	0.0	9780399156205
85	Alex Berenson**THE SILENT MAN	2010-01-31	12.0	1	0.0	9780515147537
86	Alex Berenson**THE SILENT MAN	2010-02-07	10.0	2	12.0	9780515147537
87	Alex Berenson**THE SILENT MAN	2010-02-14	7.0	3	10.0	9780515147537
88	Alex Berenson**THE SILENT MAN	2010-02-21	11.0	4	7.0	9780515147537
89	Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT	2009-04-25	2.0	1	0.0	9780375424496
90	Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT	2009-05-02	5.0	2	2.0	9780375424496
91	Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT	2009-05-09	5.0	3	5.0	9780375424496
92	Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT	2009-05-16	8.0	4	5.0	9780375424496
93	Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT	2009-05-23	12.0	5	8.0	9780375424496
94	Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT	2009-05-30	13.0	6	12.0	9780375424496
95	Alexander McCall Smith**THE COMFORTS OF A MUDDY SATURDAY	2008-09-27	16.0	1	0.0	9780375425134
96	Alexander McCall Smith**THE COMFORTS OF A MUDDY SATURDAY	2008-10-04	20.0	0	0.0	9780375425134
97	Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB	2010-04-25	3.0	1	0.0	9780375424502
98	Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB	2010-05-02	7.0	2	3.0	9780375424502
99	Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB	2010-05-09	11.0	3	7.0	9780375424502
100	Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB	2010-05-16	15.0	4	11.0	9780375424502
101	Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB	2010-05-23	17.0	0	0.0	9780375424502
102	Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB	2010-05-30	19.0	0	0.0	9780375424502
103	Alexander McCall Smith**THE LOST ART OF GRATITUDE	2009-09-26	13.0	1	0.0	9780375425141
