	author	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	asin	author_title
0	David Baldacci	0446195529	9780446195522	2011-01-16	10	15	15	HELL'S CORNER		David Baldacci**HELL'S CORNER
1	Lisa Genova	1439164630	9781439164631	2011-01-16	0	0	17	LEFT NEGLECTED		Lisa Genova**LEFT NEGLECTED
2	Emma Donoghue	0316098337	9780316098335	2011-01-16	10	14	11	ROOM		Emma Donoghue**ROOM
3	Stieg Larsson	030726999X	9780307269997	2011-01-16	34	1	3	THE GIRL WHO KICKED THE HORNET’S NEST		Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST
4	Jonathan Franzen	0312600844	9780312600846	2011-01-16	17	7	10	FREEDOM		Jonathan Franzen**FREEDOM
5	David Sedaris	0316038393	9780316038393	2011-01-16	0	0	19	SQUIRREL SEEKS CHIPMUNK		David Sedaris**SQUIRREL SEEKS CHIPMUNK
6	John Lescroart	0525951768	9780525951766	2011-01-16	2	12	14	DAMAGE		John Lescroart**DAMAGE
7	Robert Crais	0399157077	9780399157073	2011-01-16	1	0	2	THE SENTRY		Robert Crais**THE SENTRY
8	Patricia Cornwell	0399157212	9780399157219	2011-01-16	7	11	16	PORT MORTUARY		Patricia Cornwell**PORT MORTUARY
9	Brad Meltzer	0446577898	9780446577892	2011-01-16	1	0	1	THE INNER CIRCLE		Brad Meltzer**THE INNER CIRCLE
10	Dean Koontz	0553807722	9780553807721	2011-01-16	3	2	5	WHAT THE NIGHT KNOWS		Dean Koontz**WHAT THE NIGHT KNOWS
11	W E B Griffin and William E Butterworth IV	0399156836	9780399156830	2011-01-16	3	6	12	THE OUTLAWS		W E B Griffin and William E Butterworth IV**THE OUTLAWS
12	Tami Hoag	052595192X	9780525951926	2011-01-16	3	10	13	SECRETS TO THE GRAVE		Tami Hoag**SECRETS TO THE GRAVE
13	John Grisham	0385528043	9780385528047	2011-01-16	12	4	7	THE CONFESSION		John Grisham**THE CONFESSION
14	Kathryn Stockett	0399155341	9780399155345	2011-01-16	94	5	6	THE HELP		Kathryn Stockett**THE HELP
