	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
0		Michael Prescott	Michael Prescott**STEALING FACES	None	A00B00547KH66	2011-08-27	0	0	20	STEALING FACES
1		Johanna Lindsey	Johanna Lindsey**HEARTS AFLAME		9780062106544	2011-08-27	1	0	15	HEARTS AFLAME
2		Chris Culver	Chris Culver**THE ABBEY	None	A00B004M18ZRS	2011-08-27	1	0	7	THE ABBEY
3		John Grisham	John Grisham**THE CONFESSION	0440245117	9780440245117	2011-08-27	10	9	14	THE CONFESSION
4		Sara Gruen	Sara Gruen**WATER FOR ELEPHANTS	1565125851	9781565125858	2011-08-27	31	10	4	WATER FOR ELEPHANTS
5		J A Jance	J A Jance**UNTIL PROVEN GUILTY	0061758221	9780061758225	2011-08-27	4	11	12	UNTIL PROVEN GUILTY
6		Lee Child	Lee Child**SECOND SON	None	9780345529725	2011-08-27	2	2	3	SECOND SON
7		Tatiana de Rosnay	Tatiana de Rosnay**SARAH’S KEY	1429985216	9781429985215	2011-08-27	6	4	9	SARAH’S KEY
8		CJ Lyons	CJ Lyons**BLIND FAITH	None	A00B0043M6J92	2011-08-27	1	0	2	BLIND FAITH
9		Nicholas Sparks	Nicholas Sparks**SAFE HAVEN	0446547603	9780446547604	2011-08-27	0	0	19	SAFE HAVEN
10		George R R Martin	George R R Martin**A CLASH OF KINGS	0553897853	9780553897852	2011-08-27	0	0	16	A CLASH OF KINGS
11		Darcie Chan	Darcie Chan**THE MILL RIVER RECLUSE	None	A00B0051PRFLQ	2011-08-27	1	0	8	THE MILL RIVER RECLUSE
12		Kathy Reichs	Kathy Reichs**FLASH AND BONES	1439112800	9781439112809	2011-08-27	1	0	5	FLASH AND BONES
13		George R R Martin	George R R Martin**A GAME OF THRONES	0553897845	9780553897845	2011-08-27	20	8	10	A GAME OF THRONES
14		James Patterson and Michael Ledwidge	James Patterson and Michael Ledwidge**NOW YOU SEE HER	031612723X	9780316127233	2011-08-27	9	5	11	NOW YOU SEE HER
15		George R R Martin	George R R Martin**A DANCE WITH DRAGONS	0553801473	9780553801477	2011-08-27	7	6	13	A DANCE WITH DRAGONS
16		Michael Prescott	Michael Prescott**BLIND PURSUIT	None	A00B005C50KA8	2011-08-27	0	0	17	BLIND PURSUIT
17		Kathryn Stockett	Kathryn Stockett**THE HELP	1440697663	9781440697661	2011-08-27	28	1	1	THE HELP
18		Janet Evanovich	Janet Evanovich**WICKED APPETITE	0312383355	9780312383350	2011-08-27	0	0	18	WICKED APPETITE
19		David Nicholls	David Nicholls**ONE DAY	0307739309	9780307739308	2011-08-27	4	3	6	ONE DAY
20		Scott Turow	Scott Turow**IDENTICAL		9781455527212	2013-10-26	2	2	10	IDENTICAL
21		James Patterson and Michael Ledwidge	James Patterson and Michael Ledwidge**GONE	031621101X	9780316211017	2013-10-26	4	12	12	GONE
22		Liane Moriarty	Liane Moriarty**THE HUSBAND'S SECRET		9781101636237	2013-10-26	12	3	5	THE HUSBAND'S SECRET
23		Jessica Sorensen	Jessica Sorensen**THE TEMPTATION OF LILA AND ETHAN	1455574902	9781455574902	2013-10-26	1	0	7	THE TEMPTATION OF LILA AND ETHAN
24		John Sandford	John Sandford**STORM FRONT		9781101636466	2013-10-26	3	9	9	STORM FRONT
25		John Grisham	John Grisham**SYCAMORE ROW	0385537921	9780385537926	2013-10-26	1	0	1	SYCAMORE ROW
26		E L James	E L James**FIFTY SHADES OF GREY	None	9781612130293	2013-10-26	64	15	13	FIFTY SHADES OF GREY
27		Orson Scott Card	Orson Scott Card**ENDER'S GAME	142996393X	9781429963930	2013-10-26	15	7	3	ENDER'S GAME
28		Gillian Flynn	Gillian Flynn**GONE GIRL	0307588386	9780307588388	2013-10-26	66	13	15	GONE GIRL
29		John Grisham	John Grisham**THE RACKETEER	0385536887	9780385536882	2013-10-26	22	0	14	THE RACKETEER
30		Helen Fielding	Helen Fielding**BRIDGET JONES: MAD ABOUT THE BOY	0385350872	9780385350877	2013-10-26	0	0	19	BRIDGET JONES: MAD ABOUT THE BOY
31		Lee Child	Lee Child**NEVER GO BACK	0440339375	9780440339373	2013-10-26	0	0	17	NEVER GO BACK
32		Nicholas Sparks	Nicholas Sparks**THE LONGEST RIDE	1455520667	9781455520664	2013-10-26	6	8	8	THE LONGEST RIDE
33		Donna Tartt	Donna Tartt**THE GOLDFINCH	0316055433	9780316055437	2013-10-26	1	0	2	THE GOLDFINCH
34		Rachel Van Dyken	Rachel Van Dyken**THE WAGER	None	9781455554201	2013-10-26	0	0	18	THE WAGER
35		Wally Lamb	Wally Lamb**WE ARE WATER		9780062199027	2013-10-26	1	0	4	WE ARE WATER
