	author_title	comb_isbn10	comb_isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk
0	Aaron Allston**BACKLASH	0345509080	9780345509086	2010-03-14	1	0.0	4.0
1	Aaron Allston**BACKLASH	0345509080	9780345509086	2010-03-21	2	4.0	11.0
2	Aaron Allston**BACKLASH	0345509080	9780345509086	2010-03-28	0	0.0	18.0
3	Aaron Allston**BACKLASH	0345509080	9780345509086	2010-04-04	0	0.0	19.0
4	Aaron Allston**OUTCAST	0345509064	9780345509062	2009-03-28	1	0.0	3.0
5	Aaron Allston**OUTCAST	0345509064	9780345509062	2009-04-04	2	3.0	11.0
6	Aaron Allston**OUTCAST	0345509064	9780345509062	2009-04-11	3	11.0	15.0
7	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2009-02-21	0	0.0	17.0
8	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-01-31	1	0.0	11.0
9	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-02-07	2	11.0	14.0
10	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-02-14	3	14.0	13.0
11	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-02-21	4	13.0	16.0
12	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-02-28	5	16.0	13.0
13	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-03-07	6	13.0	14.0
14	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-03-14	7	14.0	18.0
15	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-03-21	8	18.0	8.0
16	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-03-28	9	8.0	11.0
17	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-04-04	10	11.0	13.0
18	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-04-11	11	13.0	20.0
19	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-04-18	12	20.0	15.0
20	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-04-25	13	15.0	10.0
21	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-05-02	14	10.0	9.0
22	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-05-09	15	9.0	10.0
23	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-05-16	16	10.0	10.0
24	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-05-23	17	10.0	8.0
25	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-05-30	18	8.0	8.0
26	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-06-06	19	8.0	7.0
27	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-06-13	20	7.0	8.0
28	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-06-20	21	8.0	7.0
29	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-06-27	22	7.0	8.0
30	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-07-04	23	8.0	7.0
31	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-07-11	24	7.0	7.0
32	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-07-18	25	7.0	7.0
33	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-07-25	26	7.0	6.0
34	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-08-01	27	6.0	6.0
35	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-08-08	28	6.0	7.0
36	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-08-15	29	7.0	5.0
37	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-08-22	30	5.0	4.0
38	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-08-29	31	4.0	4.0
39	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-09-05	32	4.0	4.0
40	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-09-12	33	4.0	5.0
41	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-09-19	34	5.0	5.0
42	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-09-26	35	5.0	5.0
43	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-10-03	36	5.0	5.0
44	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-10-10	37	5.0	4.0
45	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-10-17	38	4.0	5.0
46	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-10-24	39	5.0	4.0
47	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-10-31	40	4.0	5.0
48	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-11-07	41	5.0	5.0
49	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-11-14	42	5.0	6.0
50	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-11-21	43	6.0	5.0
51	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-11-28	44	5.0	5.0
52	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-12-05	45	5.0	4.0
53	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-12-12	46	4.0	3.0
54	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-12-19	47	3.0	5.0
55	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2010-12-26	48	5.0	5.0
56	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2011-01-02	49	5.0	4.0
57	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2011-01-09	50	4.0	3.0
58	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2011-01-16	51	3.0	3.0
59	Abraham Verghese**CUTTING FOR STONE	0375714367 | 0375414495	9780375714368 | 9780375414497	2011-01-23	52	3.0	4.0
60	Adriana Trigiani**BRAVA, VALENTINE	0061257079	9780061257070	2010-02-14	1	0.0	7.0
61	Adriana Trigiani**BRAVA, VALENTINE	0061257079	9780061257070	2010-02-21	2	7.0	13.0
62	Adriana Trigiani**BRAVA, VALENTINE	0061257079	9780061257070	2010-02-28	3	13.0	16.0
63	Adriana Trigiani**BRAVA, VALENTINE	0061257079	9780061257070	2010-03-07	0	0.0	19.0
64	Adriana Trigiani**VERY VALENTINE	0061257052	9780061257056	2009-02-07	1	0.0	9.0
65	Adriana Trigiani**VERY VALENTINE	0061257052	9780061257056	2009-02-14	2	9.0	10.0
66	Adriana Trigiani**VERY VALENTINE	0061257052	9780061257056	2009-02-21	3	10.0	13.0
67	Adriana Trigiani**VERY VALENTINE	0061257052	9780061257056	2009-02-28	0	0.0	20.0
68	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	0385501129	9780385501125	2010-06-06	0	0.0	19.0
69	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	0385501129	9780385501125	2010-06-13	0	0.0	18.0
70	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	0385501129	9780385501125	2010-07-04	1	0.0	15.0
71	Aimee Bender**THE PARTICULAR SADNESS OF LEMON CAKE	0385501129	9780385501125	2010-07-11	0	0.0	17.0
72	Alan Dean Foster, Roberto Orci and Alex Kurtzman**STAR TREK	143915886X	9781439158869	2009-05-16	1	0.0	15.0
73	Alan Furst**SPIES OF THE BALKANS	1400066034	9781400066032	2010-06-20	1	0.0	10.0
74	Alan Furst**SPIES OF THE BALKANS	1400066034	9781400066032	2010-06-27	0	0.0	18.0
75	Alan Furst**THE SPIES OF WARSAW	1400066026	9781400066025	2008-06-07	1	0.0	16.0
76	Alan Furst**THE SPIES OF WARSAW	1400066026	9781400066025	2008-06-14	0	0.0	17.0
77	Alan Furst**THE SPIES OF WARSAW	1400066026	9781400066025	2008-06-21	0	0.0	19.0
78	Alex Berenson**THE GHOST WAR	0515145823	9780515145823	2009-01-31	1	0.0	11.0
79	Alex Berenson**THE GHOST WAR	0515145823	9780515145823	2009-02-07	2	0.0	9.0
