	index	isbn10	isbn13
0	A.J. Cronin**A THING OF BEAUTY		9780450013942
2	Alice Tisdale Hobart**THE SERPENT-WREATHED STAFF		9781406769388
6	Ann Bridge**THE DARK MOMENT		9781448207404
7	Anthony West**HERITAGE		9781451605983
23	Dorothy Clarke Wilson**PRINCE OF EGYPT		9781938659010
44	Frances Parkinson Keyes**THE EXPLORER		9780449227916
45	Frank G. Slaughter**LORENA		9788877181480
46	Frank G. Slaughter**THE SONG OF RUTH		9780091131609
48	Frank Tilsley**CHAMPION ROAD		9781258846589
53	Han Suyin**THE MOUNTAIN IS YOUNG		9780586038161
60	Irwin Shaw**LUCY CROWN		9780440151173
71	Jerome Weidman**THE ENEMY CAMP		9781258046309
75	John Godey**THE TAKING OF PELHAM ONE TWO THREE		9780552159340
80	John O'Hara**THE BIG LAUGH		9780248983846
82	John O'Hara**THE HORSE KNOWS THE WAY		9780394429212
83	John O'Hara**THE INSTRUMENT		9780450002748
88	John Weitz**THE VALUE OF NOTHING		9780812812756
90	Jorge Amado**GABRIELA, CLOVE AND CINNAMON		9788476693438
91	Joseph Kessel**THE LION		9780583113618
93	Joy Packer**VALLEY OF THE VINES		9780552104425
94	K.B. Gilden**HURRY SUNDOWN		9780451028600
98	Kyle Onstott**MANDINGO		9780449132265
101	Leon Uris**TOPAZ		9788482809458
105	Marc Rivette**THE INCIDENT		9781494081638
107	Margery Sharp**THE GIPSY IN THE PARLOUR		9780727800336
111	Mary Lasswell**ONE ON THE HOUSE		9781625360380
113	Max Shulman**I WAS A TEEN-AGE DWARF		9781258510756
115	Mika Waltari**THE EGYPTIAN		9783404100408
119	Nevil Shute**THE BREAKING WAVE		9781842322864
120	Niven Busch**CALIFORNIA STREET		9781258845070
124	Pamela Frankau**A WREATH FOR THE ENEMY		9780727801777
135	Peter DeVries**REUBEN, REUBEN		9789180006842
137	Richard E. Kim**THE MARTYRED		9780143106401
138	Richard Haydn**THE JOURNAL OF EDWIN CARP		9780706604894
141	Richard Mason**THE WORLD OF SUZIE WONG		9780002219013
143	Roald Dahl**KISS KISS		9780905712925
147	Robert Nathan**A STAR IN THE WIND		9781258367206
148	Robert Ruark**THE HONEY BADGER		9781568493268
154	Roger Vailland**THE LAW		9780907871118
162	Sinclair Lewis**WORLD SO WIDE		9781622402502
167	Thomas B. Costain**SON OF A HUNDRED KINGS		9781568494678
172	Vladimir Nabokov**LOLITA		9780425020913
176	William Kelley**GEMINI		9780595007011
178	Win Brooks**THE SHINING TIDES		9781258397869
