	author_title	isbn10	isbn13
0	 A. S. Byatt.**POSSESSION		9788371802485
1	 A.C. Crispin.**SAREK		9788834707890
2	 Adriana Trigiani.**HOME TO BIG STONE GAP		9781588365637
3	 Adriana Trigiani.**LUCIA		9789531963572
4	 Agatha Christie.**CURTAIN		9788633131643
5	 Agatha Christie.**SLEEPING MURDER		9781444802337
6	 Alan Dean Foster.**THE APPROACHING STORM		9782823844214
7	 Alan Furst.**BLOOD OF VICTORY		9781299095922
8	 Alan Furst.**THE FOREIGN CORRESPONDENT		9781780221489
9	 Alan Lightman.**EINSTEIN'S DREAMS		9783426424810
10	 Alex Berenson.**THE GHOST WAR		9781407010847
11	 Alexander McCall Smith.**BLUE SHOES & HAPPINESS		
12	 Alexander McCall Smith.**IN THE COMPANY OF CHEERFUL LADIES		9780676976236
13	 Alexander McCall Smith.**THE MIRACLE AT SPEEDY MOTORS		9780316030076
14	 Alexander McCall Smith.**THE SUNDAY PHILOSOPHY CLUB		9780356245614
15	 Alexandra Day.**CARL'S CHRISTMAS		9780374311414
16	 Alexandra Ripley.**SCARLETT		9788440622754
17	 Alfred Coppel.**THIRTY-FOUR EAST		9780333166604
18	 Alice Adams.**SUPERIOR WOMEN		9780394536323
19	 Alice Hoffman.**BLUE DIARY		9780739419168
20	 Alice Hoffman.**SEVENTH HEAVEN		9780449220184
21	 Alice Hoffman.**THE RIVER KING		9780606252881
22	 Alice Hoffman.**THE THIRD ANGEL		9780099523499
23	 Alice McDermott.**CHARMING BILLY		9780374913908
24	 Alice Randall.**THE WIND DONE GONE		9780618245536
25	 Alice Sebold.**THE ALMOST MOON		9780316022842
26	 Alice Sebold.**THE LOVELY BONES		9780330413169
27	 Alice Walker.**POSSESSING THE SECRET OF JOY		9780151731527
28	 Alice Walker.**THE COLOR PURPLE		9780704339057
29	 Alice Walker.**THE TEMPLE OF MY FAMILIAR		9781306602655
30	 Alison Lurie.**THE WAR BETWEEN THE TATES		9781453271209
31	 Alison Weir.**INNOCENT TRAITOR		9781594132414
32	 Alistair MacLean.**CIRCUS		9780745132044
33	 Alistair MacLean.**FLOODGATE		9780449203439
34	 Alistair MacLean.**PARTISANS		9781444813210
35	 Alistair MacLean.**SANTORINI		9781444814637
36	 Alistair MacLean.**THE GOLDEN GATE		9780006144946
37	 Allan Folsom.**THE DAY AFTER TOMORROW		9788373592902
38	 Allan Gurganus.**OLDEST LIVING CONFEDERATE WIDOW TELLS ALL		9780375726637
39	 Allegra Goodman.**INTUITION		9781407455358
40	 Allen Drury.**COME NINEVEH		9781614752066
41	 Allen Drury.**THE PROMISE OF JOY		9781614752080
42	 Allison Pearson.**I DON'T KNOW HOW SHE DOES IT		9781400040124
43	 Allistair MacLean.**GOODBYE CALIFORNIA		9780002222754
44	 Allistair MacLean.**SEAWITCH		9780449210499
45	 Amanda Goldberg and Ruthanna Khalighi Hopper.**CELEBUTANTES		9781410408129
46	 Amanda Quick.**AFFAIR		9780753184448
47	 Amanda Quick.**DON'T LOOK BACK		9788373911680
48	 Amanda Quick.**I THEE WED		9781299112827
49	 Amanda Quick.**LATE FOR THE WEDDING		9788466613774
50	 Amanda Quick.**LIE BY MOONLIGHT		9780753174586
51	 Amanda Quick.**MISTRESS		9780553588651
52	 Amanda Quick.**MYSTIQUE		9780553588873
53	 Amanda Quick.**SECOND SIGHT		9780749936891
54	 Amanda Quick.**THE RIVER KNOWS		9788498722123
55	 Amanda Quick.**THE THIRD CIRCLE		9780399154843
56	 Amanda Quick.**WITH THIS RING		9780749939113
57	 Amy Bloom.**AWAY		9781847080523
58	 Amy Tan.**SAVING FISH FROM DROWNING		9781440627606
59	 Amy Tan.**THE BONESETTER'S DAUGHTER		9780399146435
60	 Amy Tan.**THE HUNDRED SECRET SENSES		9780786205974
61	 Amy Tan.**THE JOY LUCK CLUB		9780795310744
62	 Anais Nin.**DELTA OF VENUS		9788525427465
63	 Andrew Gross.**THE BLUE ZONE		9780061259296
64	 Andrew Gross.**THE DARK TIDE		9780061143427
65	 Andrew M. Greeley.**ANGELS OF SEPTEMBER		9780356121451
66	 Andrew M. Greeley.**ASCENT INTO HELL		9780446340397
67	 Andrew M. Greeley.**LORD OF THE DANCE		9780446512923
68	 Andrew M. Greeley.**PATIENCE OF A SAINT		9780446346825
69	 Andrew M. Greeley.**THE CARDINAL SINS		9780446328395
70	 Andrew M. Greeley.**THY BROTHER'S WIFE		9780446512459
71	 Andrew M. Greeley.**VIRGIN AND MARTYR		9780446512879
72	 Anita Brookner.**HOTEL DU LAC		9780582017306
73	 Anita Shreve.**A WEDDING IN DECEMBER		9780316024211
74	 Anita Shreve.**ALL HE EVER WANTED		9780316605946
75	 Anita Shreve.**BODY SURFING		9780316036283
76	 Anita Shreve.**LIGHT ON SNOW		9780349140872
77	 Anita Shreve.**SEA GLASS		9780316013833
78	 Anita Shreve.**THE LAST TIME THEY MET		9780786233113
79	 Ann Packer.**SONGS WITHOUT WORDS		9780749938802
80	 Ann Packer.**THE DIVE FROM CLAUSEN'S PIER		9780749938345
81	 Ann Patchett.**RUN		9780061535222
82	 Anna Quindlen.**BLACK AND BLUE		9780099538172
83	 Anna Quindlen.**BLESSINGS		9781409036883
84	 Anna Quindlen.**ONE TRUE THING		9780701163150
85	 Anna Quindlen.**RISE AND SHINE		9780739473856
86	 Anne McCaffrey and Todd McCaffrey.**DRAGON'S FIRE		9785699306640
87	 Anne McCaffrey.**DRAGONSDAWN		9781596009882
88	 Anne McCaffrey.**MORETA: DRAGONLADY OF PERN		9780552124997
89	 Anne McCaffrey.**NERILKA'S STORY		9780345331595
90	 Anne McCaffrey.**THE MASTERHARPER OF PERN		9781567402759
91	 Anne McCaffrey.**THE RENEGADES OF PERN		9781590618844
92	 Anne McCaffrey.**THE ROWAN		9780441735761
93	 Anne McCaffrey.**THE SKIES OF PERN		9780345447135
94	 Anne Perry.**BUCKINGHAM PALACE GARDENS		9780345469311
95	 Anne Perry.**DARK ASSASSIN		9781596002838
96	 Anne Perry.**SOUTHAMPTON ROW		9781587889172
97	 Anne Rice.**BLACKWOOD FARM		9788466615716
98	 Anne Rice.**BLOOD AND GOLD		9780345409324
99	 Anne Rice.**BLOOD CANTICLE		9780739304679
100	 Anne Rice.**CHRIST THE LORD: OUT OF EGYPT		9781407095653
101	 Anne Rice.**CHRIST THE LORD: THE ROAD TO CANA		9781607512479
102	 Anne Rice.**LASHER		9789721038714
103	 Anne Rice.**MEMNOCH THE DEVIL		9780394281261
104	 Anne Rice.**MERRICK		9780701171018
105	 Anne Rice.**PANDORA		9780701167370
106	 Anne Rice.**SERVANT OF THE BONES		9780517357682
107	 Anne Rice.**TALTOS		9782265079663
108	 Anne Rice.**THE QUEEN OF THE DAMNED		9780345900920
109	 Anne Rice.**THE TALE OF THE BODY THIEF		9780679411628
110	 Anne Rice.**THE VAMPIRE ARMAND		9782266254069
111	 Anne Rice.**THE VAMPIRE LESTAT		9783442453511
112	 Anne Rice.**THE WITCHING HOUR		9780394587899
113	 Anne Rice.**VIOLIN		9788440688293
114	 Anne Rice.**VITTORIO		9782259190534
115	 Anne Rivers Siddons.**COLONY		9781449873172
116	 Anne Rivers Siddons.**DOWNTOWN		9780751508901
117	 Anne Rivers Siddons.**LOW COUNTRY		9780061093326
118	 Anne Rivers Siddons.**NORA		9780061129278
119	 Anne Rivers Siddons.**PEACHTREE ROAD		9780394580449
120	 Anne Rivers Siddons.**SWEETWATER CREEK		9780060880286
121	 Anne Rivers Siddons.**UP ISLAND		9780316913140
122	 Anne Tolstoi Wallach.**WOMEN'S WORK		9780451116109
123	 Anne Tyler.**A PATCHWORK PLANET		9780804119160
124	 Anne Tyler.**BACK WHEN WE WERE GROWNUPS		9780345477248
125	 Anne Tyler.**BREATHING LESSONS		9782234063303
126	 Anne Tyler.**DIGGING TO AMERICA		9780385662895
127	 Anne Tyler.**DINNER AT THE HOMESICK RESTAURANT		9780425089774
128	 Anne Tyler.**LADDER OF YEARS		9780701163020
129	 Anne Tyler.**THE ACCIDENTAL TOURIST		9780762102501
130	 Anne Tyler.**THE AMATEUR MARRIAGE		9781407020631
131	 Anonymous.**OAKDALE CONFIDENTIAL		
132	 Anonymous.**PRIMARY COLORS		
133	 Anthony Hyde.**THE RED FOX		9780816140572
134	 Anton Myrer.**A GREEN DESIRE		9780061581410
135	 Anton Myrer.**THE LAST CONVERTIBLE		9780061746512
136	 Armistead Maupin.**SURE OF YOU		9780061434310
137	 Arnaud de Borchgrave and Robert Moss.**THE SPIKE		
138	 Arthur C. Clarke.**2010: ODYSSEY TWO		9788440644091
139	 Arthur C. Clarke.**2061: Odyssey Three		9780246133236
140	 Arthur C. Clarke.**3001: THE FINAL ODYSSEY		9788378580157
141	 Arthur C. Clarke.**THE SONGS OF DISTANT EARTH		9788817672702
142	 Arthur Golden.**MEMOIRS OF A GEISHA		9788420443485
143	 Arthur Hailey.**OVERLOAD		9780553170214
144	 Arthur Hailey.**STRONG MEDICINE		9785170288120
145	 Arthur Hailey.**THE EVENING NEWS		9780552137133
146	 Arthur Hailey.**THE MONEYCHANGERS		9780385008969
147	 Arundhati Roy.**THE GOD OF SMALL THINGS		9782070411726
148	 Avery Corman.**THE OLD NEIGHBORHOOD		9780816131464
149	 Barbara Delinsky.**AN ACCIDENTAL WOMAN		9781876590888
150	 Barbara Delinsky.**COAST ROAD		9781442077546
151	 Barbara Delinsky.**FAMILY TREE		9780007245123
152	 Barbara Delinsky.**FLIRTING WITH PETE		9780743469845
153	 Barbara Delinsky.**LAKE NEWS		9781416579571
154	 Barbara Delinsky.**THE SECRET BETWEEN US		9780007283385
155	 Barbara Delinsky.**THE VINEYARD		9780743410489
156	 Barbara Delinsky.**THE WOMAN NEXT DOOR		9780786235100
